ENSEMBL	ENTREZID
ENSG00000166046	255394
ENSG00000151136	121551
ENSG00000076248	7374
ENSG00000196510	51434
ENSG00000089127	4938
ENSG00000111331	4940
ENSG00000111335	4939
ENSG00000186815	53373
ENSG00000152137	26353
ENSG00000183273	160777
ENSG00000200795	26835
ENSG00000182782	338442
ENSG00000255398	8843
ENSG00000130921	91574
ENSG00000183495	57634
ENSG00000176915	23141
ENSG00000090612	10795
ENSG00000196199	54737
ENSG00000165474	2706
ENSG00000027001	4285
ENSG00000075673	479
ENSG00000151846	5042
ENSG00000120699	11340
ENSG00000102710	55578
ENSG00000150907	2308
ENSG00000120690	1997
ENSG00000102763	23078
ENSG00000133106	94240
ENSG00000120675	29103
ENSG00000102804	8848
ENSG00000278156	641467
ENSG00000288743	105370203
ENSG00000253309	647174
ENSG00000253797	9724
ENSG00000136114	55901
ENSG00000136108	26586
ENSG00000083544	81550
ENSG00000183098	10082
ENSG00000134874	22873
ENSG00000102572	8428
ENSG00000228889	100289373
ENSG00000125247	84899
ENSG00000134897	54841
ENSG00000187498	1282
ENSG00000153531	113622
ENSG00000185989	22821
ENSG00000169062	65110
ENSG00000165795	57447
ENSG00000258441	283624
ENSG00000092068	23428
ENSG00000100911	5721
ENSG00000213928	10379
ENSG00000100926	10548
ENSG00000092330	26277
ENSG00000092295	7051
ENSG00000100949	5875
ENSG00000129465	11035
ENSG00000100906	4792
ENSG00000198807	5083
ENSG00000129514	3169
ENSG00000198718	23116
ENSG00000100479	5427
ENSG00000165516	23588
ENSG00000125378	652
ENSG00000100532	10668
ENSG00000020577	23034
ENSG00000198554	11169
ENSG00000139973	83851
ENSG00000089775	7597
ENSG00000070182	6710
ENSG00000139998	376267
ENSG00000258502	105370540
ENSG00000100558	26499
ENSG00000072110	87
ENSG00000100647	9766
ENSG00000133985	23508
ENSG00000100731	22990
ENSG00000197555	26037
ENSG00000187097	957
ENSG00000198208	83694
ENSG00000119685	23093
ENSG00000013523	23357
ENSG00000119669	64207
ENSG00000009830	29954
ENSG00000100591	10598
ENSG00000071537	6400
ENSG00000185070	23768
ENSG00000185070	124907389
ENSG00000165533	123016
ENSG00000183648	4707
ENSG00000089723	78990
ENSG00000165949	3429
ENSG00000170099	866
ENSG00000196136	12
ENSG00000165959	79789
ENSG00000182218	84439
ENSG00000131323	7187
ENSG00000185215	7127
ENSG00000185100	122622
ENSG00000185567	113146
ENSG00000184986	80757
ENSG00000248905	342184
ENSG00000182405	161779
ENSG00000140199	9990
ENSG00000137801	7057
ENSG00000188549	388115
ENSG00000104140	171177
ENSG00000137815	23168
ENSG00000188089	123745
ENSG00000168907	255189
ENSG00000104055	9333
ENSG00000242028	25764
ENSG00000171877	84978
ENSG00000140279	50506
ENSG00000166920	84419
ENSG00000284386	100126311
ENSG00000137767	58472
ENSG00000137872	80031
ENSG00000103995	22995
ENSG00000285410	55056
ENSG00000140280	256586
ENSG00000137766	440279
ENSG00000140416	7168
ENSG00000166794	5479
ENSG00000169118	53944
ENSG00000166949	4088
ENSG00000258484	246777
